UserName,Embedded_text,Likes,Retweets,Tweet URL
@kazimhc19,"اس تصویر سے اہل دل کا جگر کٹ گیا ہے۔۔حکومتی نااہلی کی وجہ سے اس معصوم بچے کہ لیے ہمیشہ کہ لیے دعا کہ دروازے بند ہوگئے اس معصوم بچے کی ماں نہ رہی 
#KarachiBlast
1
4
16",4,16,https://twitter.com/kazimhc19/status/1526356085459787782
@kazimhc19,"آج سندھ حکومت نے اساتذہ کی بھرتی کہ لیے پالیسی میں مزید نرمی کردی، امید ہے نئے اساتذہ تعلیم کی بہتری میں اپنا کردار نبھانے کی پوری کوشش کرینگے۔۔یاد رہے ایک استاد مستقبل کی ایک پوری نسل تیار کرتا ہے، بچوں کا مستقبل آپ کہ ہاتھوں میں ہے
#PST #jest #SindhGovt
1
7",1,7,https://twitter.com/kazimhc19/status/1526540080868884480
@kazimhc19,"گِرنے میں آج بھی ڈالر دوسرے نمبر پر موجود ہے 
#Dollar
2",,2,https://twitter.com/kazimhc19/status/1526595368863076352
@kazimhc19,"پاکستان کی سیاست اور سرکس میں اب کوئی واضع فرق نہیں رہا۔
#SupremeCourt #PunjabAssembly
2",,2,https://twitter.com/kazimhc19/status/1526572387109588992
@kazimhc19,"ڈالر کی ڈبل سنچری مکمل  
Economy Tabah dyy
#Dollar
1
2",,2,https://twitter.com/kazimhc19/status/1526545752503328771
@kazimhc19,"Heat stroke 
11",,11,https://twitter.com/kazimhc19/status/1526982250725888008
@kazimhc19,"مارگلہ جنگلات میں آگ لگا کرTiktokبنانے والیTiktokerڈولی کہ خلاف FIRکٹ گئی پر گرفتاری ابھی تک عمل میں لائی نہیں گئی۔ ہوسکتا ہے یہ بھی کسی وزیر یا مشیر کہ بنگلے کی زیننت بن کر چھپ گئی ہو جس طرح حریم شاہ اپنیTiktokمیں PMHouseکہ دروازے کو لاتیں مار کرPTI کی پناہ میں رہتی تھی۔
#Dolly
1
4
13",4,13,https://twitter.com/kazimhc19/status/1526924854401847299
@kazimhc19,"پاکستان جیسے ملک میں ایک لڑکے، دو بھائی، باپ بیٹے، 2دوستوں کو فیملی تک نہیں سمجھا جاتا. مختلف مالز، پکنک پوائنٹس اور پارک میں یہ بول کر جانے سے منع کیا جاتا کہ فیملی کہ بغیر اجازت نہیں!وہاں ایک اکیلی لڑکی نے مارگلہ ہلز کو آگ لگا دی۔۔عقل کی کمی ہے یا شعور کی؟
#Dolly #MargallaHills
8",,8,https://twitter.com/kazimhc19/status/1526939722605551617
@kazimhc19,"مذہبی بحث میں نے کی ہی نہیں،

فالتو عقل مجھ میں تھی ہی نہیں..
10",,10,https://twitter.com/kazimhc19/status/1526907248164982786
@kazimhc19,"Despite all hardships, Mehdi Ali Kazmi is hero of moment. He stands for his daughter and proved that he is right.. Hence proved a father is real hero for daughter 
#DuaZehra
1
4",1,4,https://twitter.com/kazimhc19/status/1527317167879753736
