user_id,user_screen_name,user_name,user_ location,user_description,Geo: ,coordinates,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,place,is_retweet
1500082640824590338,Hughghhghghh,Kyle Chandler,Brisbane,a moron,,,2009-05-12 10:45:21+00:00,911,608,64927,False,2022-03-05 12:15:46+00:00,RT @stormeinaGcup: Petition for @SeannScott to do an in-charcter Stifler tribute vid for @ShaneWarne,,Twitter for iPhone,,False
1500082635422728192,MrSunilSattawa1,सुनिल सत्तावन,"गांव - मौहलाई तह. सिकराय, दौसा",💯% follow back,,,2021-01-16 12:38:23+00:00,1595,1913,12636,False,2022-03-05 12:15:45+00:00,"RT @cricketnext: Remembering the King: The Joy of Watching Shane Warne Bowl and Listening to Him Was Spectacular

#ShaneWarne #RIPKing 

✍️…","['ShaneWarne', 'RIPKing']",Twitter for Android,,False
1500082628640137219,startedtofight,the fighter,,student,,,2013-01-20 07:56:09+00:00,34,877,4105,False,2022-03-05 12:15:43+00:00,"RT @drmssm: #ShaneWarne died suddenly. RIP. Unfortunately, no one was with him when he had cardiac arrest. Please get the cardiac check up…",['ShaneWarne'],Twitter for Android,,False
1500082619803123715,AliSherKhawaja1,Ali Khawaja 🇵🇸,,"Life Is Not Same For Everyone, Thank Almighty For Whatever You Got.❤️🇵🇰 #HalaMadrid",,,2018-07-26 19:56:03+00:00,56,258,6575,False,2022-03-05 12:15:41+00:00,"RT @javeedalikmr: A minute silence will be observed today, on the 2nd day of the 1st PAKvAUS test match to pay their tributes to Australian…",,Twitter for Android,,False
1500082613813334016,shaikh_kahaf,Kahaf Shaikh,,Reality is often disappointing,,,2022-01-18 08:48:48+00:00,0,1,113,False,2022-03-05 12:15:39+00:00,"RT @Vinodbhagat66: Tribute to #ShaneWarne 💥🏏

#RavindraJadeja #Jadeja #IndvsSl https://t.co/WgZ3gHPVie","['ShaneWarne', 'RavindraJadeja', 'Jadeja', 'IndvsSl']",Twitter for Android,,False
1500082606322368514,ManjinderAttep1,Manjinder Attepur,,,,,2022-03-04 16:14:25+00:00,1,35,20,False,2022-03-05 12:15:38+00:00,RT @satishacharya: Such a cruel turn! RIP Shane Warne! #ShaneWarne https://t.co/0U9dLsugE0,['ShaneWarne'],Twitter for Android,,False
1500082598197923842,RebelNanaji1,Rebel Nanaji@,,"రమయ్యపట్నం,vizage",,,2020-10-23 06:01:42+00:00,12,123,11434,False,2022-03-05 12:15:36+00:00,"RT @omraut: Saddened by the untimely death of #ShaneWarne
May his soul rest in peace. 🙏🏻 https://t.co/wP9rsVoOvB",['ShaneWarne'],Twitter for Android,,False
1500082585103323137,MollyKerrActor,Molly Kerr,"Perth, Western Australia",I'm rewriting my profile to avoid writing more of my screenplay. Did you know bunnies have odourless fur and clean themselves constantly? True fact.,,,2012-11-25 12:06:53+00:00,885,1064,3753,False,2022-03-05 12:15:33+00:00,"A good obituary should make you realise that you've been taking someone for granted and feel regret that they died before you could send them fan mail. 

I don't follow cricket, but goodness, this guy! 

#ShaneWarne #RIP #Obituary #Cricket #itsjustnotcricket #AussieLegend",,Twitter Web App,,False
1500082580536049670,nitin_gadhwal,Nitin Gadhwal,,,,,2020-09-14 13:27:40+00:00,2,3,3566,False,2022-03-05 12:15:32+00:00,"RT @PradeepKrish_m: When IPL started,6 teams had marquee players.They were the identity of their teams.Chennai bought the darling of Indian…",,Twitter for Android,,False
1500082580091117568,AbirSar46241629,𝘼𝙗𝙞𝙧 𝙎𝙤𝙧𝙘𝙖𝙧,"Balurghat, India",𝓑𝓲𝓫𝓵𝓲𝓸𝓹𝓱𝓲𝓵𝓮  𝘾𝙧𝙞𝙘𝙠𝙚𝙩-𝙇𝙤𝙫𝙚𝙧 𝓒𝓲𝓷𝓮𝓹𝓱𝓲𝓵𝓮,,,2019-03-25 04:04:36+00:00,31,1213,2816,False,2022-03-05 12:15:31+00:00,"RT @RealHughJackman: Like you all I am in shock to wake to the news that @ShaneWarne had passed away. I’m grateful to have known him, and t…",,Twitter for Android,,False
1500082574646988802,bil_tech5,Bil_tech5,,"Fiverr:
https://t.co/4OLjWwIZtT…
Upwork:
https://t.co/dtWeil1qcB",,,2021-11-28 10:21:18+00:00,17,145,12,False,2022-03-05 12:15:30+00:00,"If you need a website with great and eye-catching design then click any of the links below!
Fiverr:
https://t.co/lD8xUrPLtp
Upwork:
https://t.co/JrguX0KEqN
#ShaneWarne #ميحد_حمد #Peshawarblast #Peshawar #الجزيرة_الشارقة #JusticeForDishaSalian #GOT7 #수진아먹었다 #MOA_X_TOGETHER https://t.co/kHdCR147XA",,Twitter Web App,,False
1500082570473914369,sunishchit,SUNISHCHIT DHINGRA,NEW DELHI,,,,2010-05-26 06:59:19+00:00,8,148,916,False,2022-03-05 12:15:29+00:00,What a Great cricketer he was Gone so soon #ShaneWarne Rest in peace 💐🙏🏼,['ShaneWarne'],Twitter for Android,,False
1500082564077436932,bobkenny62,Robert Kenny,"South West, England","Normal bloke, happily married, 4 kids, live in Cornwall PZ.
Over the last few years my eyes and ears have been woken to the utter distopian nightmare! ENOUGH !",,,2015-09-09 12:11:05+00:00,1172,1067,107561,False,2022-03-05 12:15:28+00:00,"RT @Staying_free21: #ShaneWarne dies of a heart attack in Thailand, age 52.
The inevitable question is…..?
💉💉💉
The amount of (younger than…",['ShaneWarne'],Twitter for Android,,False
1500082555726745607,Vivekja84654934,Vivek jaiswal,,,,,2021-05-23 13:41:37+00:00,35,10,6760,False,2022-03-05 12:15:26+00:00,RT @SavageCreature: @imVkohli Huge loss to world cricket😭 Gone too soon! RIP the artist of Spin Bowling #ShaneWarne 💔 btw he was a big fan…,['ShaneWarne'],Twitter for Android,,False
1500082528438599684,CallardPhil,Phil Leeds United,Brisbane,"Christian, Leeds utd, Brisbane Roar, conservative,",,,2018-12-23 20:38:45+00:00,1007,2208,9479,False,2022-03-05 12:15:19+00:00,"@ScottMorrisonMP @ShaneWarne Thank you for your kind words PM we are all in shock over this sad news, prayers are with his family at this time, RIP Shane Warne",,Twitter for iPhone,,False
1500082512269557760,JNS_Savimbi,JStevens,Earth,,,,2019-06-03 14:21:55+00:00,14,95,3372,False,2022-03-05 12:15:15+00:00,@robinbhatia_277 @sueholmes252 @ScottMorrisonMP @ShaneWarne You really can't be serious!,,Twitter for Android,,False
1500082502362439683,mustaaandaaaaa,Gujjar🇵🇰🇺🇸🇨🇦,,,,,2022-01-12 16:12:52+00:00,3,34,152,False,2022-03-05 12:15:13+00:00,"RT @sohailmalik614: Heartbroken on the sudden death of the legend #ShaneWarne 💔 
prayers for his family and loved ones. He'll be missed 😞 h…",['ShaneWarne'],Twitter for iPhone,,False
1500082493273219080,vidyadharginde,Vidyadhar Ginde,Mumbai,,,,2011-08-14 07:31:16+00:00,630,2844,1950,False,2022-03-05 12:15:11+00:00,RT @dwivedikaustuv: Jaddu and his century today is one of the heart touching tribute to the legend #ShaneWarne ... Sir Ravindra Jadeja is p…,['ShaneWarne'],Twitter for iPhone,,False
1500082492170457090,ridin_dirty_,Maan,At Peace,Here to retweet best of memes ☺️,,,2021-10-02 18:16:00+00:00,327,446,33866,False,2022-03-05 12:15:10+00:00,"RT @FoxCricket: 'He was magic' 🌟

Isa Guha delivers an emotional few words on Warnie 😢

📺 Watch the #ShaneWarne tribute on @Foxtel CH501 or…",['ShaneWarne'],Twitter Web App,,False
1500082491193176065,Pritchard007,Bravado,,Word life,,,2011-03-19 09:59:51+00:00,155,344,1245,False,2022-03-05 12:15:10+00:00,@News24 @RobHouwing @Sport24news RIP #ShaneWarne King,['ShaneWarne'],Twitter for iPhone,,False
1500082483299192835,manna_suvam,SUVAM MANNA," Purba Medinipur, India.",https://t.co/raSAUx193V Worker. Worker FAM4TMC.কর্মই ধর্ম.,,,2021-04-13 10:22:21+00:00,607,952,14492,False,2022-03-05 12:15:08+00:00,"RT @SwagataLaxmiBh1: Rest in Peace #ShaneWarne 

#FAM4TMC https://t.co/FshmA6AMkE","['ShaneWarne', 'FAM4TMC']",Twitter for Android,,False
1500082476173037572,GokulSa26077432,PSPK,,PSPK INDIA FAN,,,2021-04-22 15:38:31+00:00,35,23,13804,False,2022-03-05 12:15:07+00:00,"RT @StarSportsIndia: ""𝘍𝘰𝘳 𝘮𝘦, 𝘩𝘦'𝘴 𝘵𝘩𝘦 𝘨𝘳𝘦𝘢𝘵𝘦𝘴𝘵 𝘴𝘱𝘪𝘯𝘯𝘦𝘳 𝘵𝘰 𝘩𝘢𝘷𝘦 𝘦𝘷𝘦𝘳 𝘱𝘭𝘢𝘺𝘦𝘥 𝘵𝘩𝘦 𝘨𝘢𝘮𝘦."" - @imVkohli

Hear from Kohli, as he remembers the le…",,Twitter for Android,,False
1500082471144402945,Nimesh190701,Karan Nimesh,,,,,2022-01-12 05:09:57+00:00,0,18,98,False,2022-03-05 12:15:05+00:00,"RT @the_hindu: #ShaneWarne, one of the greatest spinners cricket has ever seen, passed away in Thailand on Friday. He was found unresponsiv…",['ShaneWarne'],Twitter for Android,,False
1500082463187611648,farhadwassanPTI,Farhad Safdar,kharian ,"Pakistani |
Ummat e Mohammadi SAWW |
Insafian",,,2017-03-15 14:54:24+00:00,208,995,18815,False,2022-03-05 12:15:04+00:00,RT @ShaziyaaMehmood: Can’t get over 💔 #ShaneWarne https://t.co/2tcApUuxNy,['ShaneWarne'],Twitter for Android,,False
1500082459500691457,Jackpot101284,Paul Smith,,,,,2022-01-06 10:44:53+00:00,28,160,491,False,2022-03-05 12:15:03+00:00,RT @isaguha: Heartbroken 💔 the best times of my life have been talking cricket with this bloke. The true rockstar of cricket. Will miss you…,,Twitter Web App,,False
1500082443189055489,mishraharsha3,Harsha Mishra,,,,,2021-08-09 09:29:32+00:00,9,4,172,False,2022-03-05 12:14:59+00:00,"RT @NCP_NMCspeaks: Legendary Australian iconic #cricket #spinner, #ShaneWarne was in Thailand when he died of a suspected heart attack on F…","['cricket', 'spinner', 'ShaneWarne']",Twitter for Android,,False
1500082442060713986,Oshani830230754,𝗢𝘀𝗵𝗮𝗻𝗶,Srilanka 🇱🇰 ,"#𝐁𝐓𝐒
#𝐁𝐓𝐒𝐀𝐑𝐌𝐘
#𝐎𝐓7
                                                      𝙒𝙝𝙚𝙣 𝙒𝙞𝙣𝙩𝙚𝙧 𝙋𝙖𝙨𝙨𝙚𝙨 𝙎𝙥𝙧𝙞𝙣𝙜 𝙖𝙡𝙬𝙖𝙮𝙨 𝙘𝙤𝙢𝙚...",,,2021-05-11 06:45:14+00:00,27,79,2772,False,2022-03-05 12:14:59+00:00,"RT @ManasRout1996: Shocked to know about the passing away of great Australian cricketer Shane Warne.. My heart goes out to his friends,, Fa…",,Twitter for Android,,False
1500082437703061505,gazmavfc,Gareth Morgan,United Kingdom,Engaged to Charlotte Hulse ❤️Getting married 24/9/2022 ❤️Kids Dylan & Oscar ❤️ #AVFC STH 💪 #backboris 💪 Work at Little Aston GC,,,2012-05-12 22:32:26+00:00,512,1368,5317,False,2022-03-05 12:14:57+00:00,"RT @RockstarMK11: Ball of the century by #Warne

RIP #shanewarne https://t.co/vAtIRKd1Je","['Warne', 'shanewarne']",Twitter for Android,,False
1500082431466283008,matthewhayden,Matt Hayden,"Sydney, New South Wales","Red-pilled Sydney blogger. Your problem if you can't spot the sit down comedy. ""Coffees"" much appreciated: https://t.co/gcaX0CJJre Check out my blog 👇",,,2010-03-17 13:41:13+00:00,6522,4968,12041,False,2022-03-05 12:14:56+00:00,RT @matthewhayden: Hurley-bowly https://t.co/9NVv0pqvnV #ShaneWarne #symbolismwillbetheirdownfall #occultelite https://t.co/iaC9r9mp7N,"['ShaneWarne', 'symbolismwillbetheirdownfall', 'occultelite']",Twitter Web App,,False
1500082410939039745,DNagesw84930258,D Nageswara Rao,,,,,2018-09-09 15:27:22+00:00,18,168,29361,False,2022-03-05 12:14:51+00:00,"RT @PrasadVPotluri: Legends and friends leaving us, much more desired by the world from their time and talent. Wake up call for the rest of…",,Twitter for Android,,False
1500082406367559680,vivekkatial,Vivek Katial,"Melbourne, Victoria","🎗Executive Director @ Good Data Institute 
♻️👨‍💻Data Scientist // Founding Team @ Multitudes 
🌱📚 PhD Candidate in Quantum Computing @ Uni of Melb 🎓 ⚛️",,,2012-10-19 05:34:42+00:00,106,290,1610,False,2022-03-05 12:14:50+00:00,"RT @FoxCricket: 'He was magic' 🌟

Isa Guha delivers an emotional few words on Warnie 😢

📺 Watch the #ShaneWarne tribute on @Foxtel CH501 or…",['ShaneWarne'],Twitter Web App,,False
1500082400868462595,shaikh_kahaf,Kahaf Shaikh,,Reality is often disappointing,,,2022-01-18 08:48:48+00:00,0,1,113,False,2022-03-05 12:14:49+00:00,"RT @SimplySandeep_: The sensational ""Ball of the Century"" by #ShaneWarne, clean bowling Mike Gatting with his first ball of the 1993 Ashes…",['ShaneWarne'],Twitter for Android,,False
1500082386973118470,adeel_oficial,چوہدری عدیل احمد,"Lahore, Pakistan",(Mister Perfect),,,2019-06-12 09:09:50+00:00,240,2378,569,False,2022-03-05 12:14:45+00:00,"Rest in Peace...!!!
#ShaneWarne https://t.co/R19NxPneem",['ShaneWarne'],Twitter for Android,,False
1500082382031908869,Hariroger_,Harishankar,,,,,2020-04-04 08:25:26+00:00,3725,3158,570156,False,2022-03-05 12:14:44+00:00,RT @vikramsathaye: I am sure Jadeja will dedicate this hundred to Warnie. Warnie loved Jadeja. #ShaneWarne,['ShaneWarne'],Twitter for Android,,False
1500082373098098692,TheRealIbad,Ibad Ur Rehman,Among u all ,"Advocate of humanity. Freethinker, dreamer of a peaceful, safe & equal world for all. Believer of coexistence... #Love #Peace #Azadi #Humanity 👉Hate Mullahs",,,2018-03-21 05:36:56+00:00,411,692,36524,False,2022-03-05 12:14:42+00:00,RT @ShaziyaaMehmood: Can’t get over 💔 #ShaneWarne https://t.co/2tcApUuxNy,['ShaneWarne'],Twitter for iPhone,,False
1500082372586487808,its_needo,نوید اکرم قریشی,"Rawalpindi, Pakistan","‏‏‏ابھی اتنا مشہور نہیں ہوا کہ بائیو لکھتا پھروں.....

from NA-55 now NA-62",,,2016-04-09 13:37:34+00:00,436,1129,40347,False,2022-03-05 12:14:42+00:00,RT @ShaziyaaMehmood: Can’t get over 💔 #ShaneWarne https://t.co/2tcApUuxNy,['ShaneWarne'],Twitter for Android,,False
