date,user_id,text,url,renderedContent,user_name,user_followers,replyCount,retweet-count,likeCount,quoteCount,lang,conversationId,outlinks,source,is_retweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,user_location,hashtags,cashtags,mentionedUsers,outlinks,tcooutlinks,sourceLabel
2022-05-10 23:50:35+00:00,1524175097875079176,@AamirLiaquat https://t.co/W7Mw6aBSB5,https://twitter.com/UmerAsI61783786/status/1524175097875079176,@AamirLiaquat twitter.com/AmanAliKing1/s…,UmerAsI61783786,0,0,0,0,0,und,1524175097875079176,['https://twitter.com/AmanAliKing1/status/1524136743078961153'],,,https://twitter.com/AmanAliKing1/status/1524136743078961153,,,"[User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",['https://twitter.com/AmanAliKing1/status/1524136743078961153'],['https://t.co/W7Mw6aBSB5'],Twitter for Android
2022-05-10 23:50:21+00:00,1524175039767142401,@ItsFSW @AamirLiaquat Wah farrukh aaj chwal maar di a,https://twitter.com/Mavi_khan_Swati/status/1524175039767142401,@ItsFSW @AamirLiaquat Wah farrukh aaj chwal maar di a,Mavi_khan_Swati,5,0,0,0,0,hi,1523656248851578882,,,,,1.523656248851579e+18,https://twitter.com/ItsFSW,"[User(username='ItsFSW', id=772917984, displayname='Farrukh Shahbaz Warraich', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='ItsFSW', id=772917984, displayname='Farrukh Shahbaz Warraich', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android
2022-05-10 23:50:11+00:00,1524174996255522817,#AamirLiaquatHussain Every Pakistani right Now 😂 https://t.co/Hwxyx74jLI,https://twitter.com/alemekael/status/1524174996255522817,#AamirLiaquatHussain Every Pakistani right Now 😂 https://t.co/Hwxyx74jLI,alemekael,1043,0,9,35,1,en,1524174996255522817,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1524136701521797124/pu/img/9M-JB1M81h3-j0i_.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1524136701521797124/pu/vid/640x362/RwCpN9iXd8rTFXCD.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1524136701521797124/pu/vid/476x270/B5SpEYssBGNcEkxt.mp4?tag=12', bitrate=256000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1524136701521797124/pu/pl/_9C97Qsx_S0gyWFx.m3u8?tag=12&container=fmp4', bitrate=None)], duration=20.108, views=97379)]",,,,,,,,['AamirLiaquatHussain'],,,,,Twitter for Android
2022-05-10 23:49:26+00:00,1524174805884452865,"@alidar89 @AamirLiaquat Bro this is not how deep fake works. It was easy to replace Nawaz Sharif's face with Imran Riaz Khan because the video was shot with high quality, with focus on the face. The leaked videos are usually very low quality with moving camera so they are not deep fake atleast",https://twitter.com/ammar_malik93/status/1524174805884452865,"@alidar89 @AamirLiaquat Bro this is not how deep fake works. It was easy to replace Nawaz Sharif's face with Imran Riaz Khan because the video was shot with high quality, with focus on the face. The leaked videos are usually very low quality with moving camera so they are not deep fake atleast",ammar_malik93,166,1,0,10,0,en,1524119898619793408,,,,,1.5241198986197934e+18,https://twitter.com/alidar89,"[User(username='alidar89', id=769545777718886400, displayname='Ali Dar 🇵🇰', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='alidar89', id=769545777718886400, displayname='Ali Dar 🇵🇰', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android
2022-05-10 23:49:04+00:00,1524174714725445632,@ItsFSW @AamirLiaquat Kiraye ka tattoo,https://twitter.com/Talat744/status/1524174714725445632,@ItsFSW @AamirLiaquat Kiraye ka tattoo,Talat744,115,0,0,0,0,hi,1523656248851578882,,,,,1.523656248851579e+18,https://twitter.com/ItsFSW,"[User(username='ItsFSW', id=772917984, displayname='Farrukh Shahbaz Warraich', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='ItsFSW', id=772917984, displayname='Farrukh Shahbaz Warraich', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android
2022-05-10 23:48:40+00:00,1524174614217334785,"Drug and alcohol abuse can change a person’s behavior and personality in ways that almost make them seem like an entirely different person. 
#AamirLiaquatHussain https://t.co/0gp287lJ1I",https://twitter.com/alemekael/status/1524174614217334785,"Drug and alcohol abuse can change a person’s behavior and personality in ways that almost make them seem like an entirely different person. 
#AamirLiaquatHussain https://t.co/0gp287lJ1I",alemekael,1043,0,2,7,0,en,1524174614217334785,,"[Photo(previewUrl='https://pbs.twimg.com/media/FSa-TbOXIAIQdYv?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FSa-TbOXIAIQdYv?format=jpg&name=large')]",,,,,,,,['AamirLiaquatHussain'],,,,,Twitter for Android
2022-05-10 23:48:00+00:00,1524174446898069505,"Waise agar leak video  #AamirLiaquatHussain ki hi hai tu phir ye b #NawazSharif hai ! 
@ImranRiazFan
#امپورٹڈ__حکومت__نامنظور
Note: We can't decide about the originality of a video. https://t.co/1KhpuAp861",https://twitter.com/iSaaniaKhan/status/1524174446898069505,"Waise agar leak video  #AamirLiaquatHussain ki hi hai tu phir ye b #NawazSharif hai ! 
@ImranRiazFan
#امپورٹڈ__حکومت__نامنظور
Note: We can't decide about the originality of a video. https://t.co/1KhpuAp861",iSaaniaKhan,1436,2,0,7,0,en,1524174446898069505,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1524119872602583041/pu/img/p7tzUowM85wNhCtQ.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1524119872602583041/pu/pl/kVBG-afKc16u9Qqh.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1524119872602583041/pu/vid/424x330/IHm3HPQmvLzcpNhY.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1524119872602583041/pu/vid/346x270/akHhav9e56Q2PSDs.mp4?tag=12', bitrate=256000)], duration=15.092, views=80303)]",,,,,"[User(username='ImranRiazFan', id=1162272062158692352, displayname='Imran Khan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,"['AamirLiaquatHussain', 'NawazSharif', 'امپورٹڈ__حکومت__نامنظور']",,"[User(username='ImranRiazFan', id=1162272062158692352, displayname='Imran Khan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android
2022-05-10 23:47:47+00:00,1524174391441039360,"So called, Islamic scholar Dr. Aamir Liaqat high on cocaine in his leaked video by his wife Dania Shah, his body look like an old prostitute. 😂
#AamirLiaquatHussain https://t.co/iKa6de6w1p",https://twitter.com/alemekael/status/1524174391441039360,"So called, Islamic scholar Dr. Aamir Liaqat high on cocaine in his leaked video by his wife Dania Shah, his body look like an old prostitute. 😂
#AamirLiaquatHussain https://t.co/iKa6de6w1p",alemekael,1043,0,5,7,0,en,1524174391441039360,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1524127715284209665/pu/img/dXO6-iNqh6Df_2hG.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1524127715284209665/pu/vid/240x426/cWQ0bgB4DOfFcO51.mp4?tag=12', bitrate=632000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1524127715284209665/pu/pl/XSIi0TPeCqttHQUe.m3u8?tag=12&container=fmp4', bitrate=None)], duration=4.481, views=211659)]",,,,,,,,['AamirLiaquatHussain'],,,,,Twitter for Android
2022-05-10 23:47:31+00:00,1524174324516769793,ye paida he zaleel hony k lye hva hai #AamirLiaquatHussain https://t.co/G8DaQR7W6L,https://twitter.com/Saadabiwaqas03/status/1524174324516769793,ye paida he zaleel hony k lye hva hai #AamirLiaquatHussain https://t.co/G8DaQR7W6L,Saadabiwaqas03,8,0,0,1,0,hi,1524174324516769793,,"[Photo(previewUrl='https://pbs.twimg.com/media/FSb0eGEWYAAKnUF?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FSb0eGEWYAAKnUF?format=jpg&name=large')]",,,,,,,,['AamirLiaquatHussain'],,,,,Twitter for Android
2022-05-10 23:42:36+00:00,1524173087331303430,"عامر لیاقت حسین میں خامیاں ہیں اس لیے اس کی تیسری بیوی بھی چھوڑ کر جا چکی ہے طلاق ہو گئی تو میں دانیا سے نکاح کر لوں گا میرے نبی کی ایک شادی کنواری امی عائشہ سے ہوئی باقی شادی شدہ طلاق یافتہ تھیں میں ان کی سنت زندہ کروں گا انشااللہ ہم دونوں ایک شہر سے ہیں
#AamirLiaquatHussain",https://twitter.com/Inzamam02367810/status/1524173087331303430,"عامر لیاقت حسین میں خامیاں ہیں اس لیے اس کی تیسری بیوی بھی چھوڑ کر جا چکی ہے طلاق ہو گئی تو میں دانیا سے نکاح کر لوں گا میرے نبی کی ایک شادی کنواری امی عائشہ سے ہوئی باقی شادی شدہ طلاق یافتہ تھیں میں ان کی سنت زندہ کروں گا انشااللہ ہم دونوں ایک شہر سے ہیں
#AamirLiaquatHussain",Inzamam02367810,1,0,0,1,0,ur,1524173087331303430,,,,,,,,"Coordinates(longitude=69.328873, latitude=27.708226)","Place(fullName='Punjab, Pakistan', name='Punjab', type='admin', country='Pakistan', countryCode='PK')",['AamirLiaquatHussain'],,,,,Twitter for Android
